time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
1400,2021-06-25 14:35:26,0,0,11.154856,,,1049.2348393498,11.811024,1.1408394,0,11,0,15.788,1049.2348393498,11.154856,7.49598594,0,1.11847,0.223694,0,13.8, 9.4, -2.5,0,0,1024,1024,1024,1024,13.6,0,97,4.243,4.242,4.244,4.235,0,0,2.318,84.2,1049.2348393498,11.154856,6,P-GPS,
1500,2021-06-25 14:35:26,0,0,11.154856,,,1049.2348393498,11.811024,0.92161928,0,11,0,15.788,1049.2348393498,11.154856,7.49598594,0,0.894776,0.223694,0,13.8, 9.6, -1.6,0,0,1024,1024,1024,1024,13.6,0,97,4.243,4.242,4.244,4.235,0,0,2.318,84.2,1049.2348393498,11.154856,6,P-GPS,
1600,2021-06-25 14:35:26,0,0,11.154856,,,1049.2348393498,11.811024,0.70687304,0,11,0,15.788,1049.2348393498,11.154856,7.49598594,0,0.671082,0.223694,0,13.9, 9.8, -0.7,0,0,1024,1024,1024,1024,13.6,0,97,4.243,4.242,4.244,4.235,0,0,2.318,84.2,1049.2348393498,11.154856,6,P-GPS,
2180,2021-06-25 14:35:27,0,0,11.154856,,,1049.2348393498,11.811024,0.80753534,0,11,0,15.788,1049.2348393498,11.154856,7.49598594,0,0.671082,0.447388,0,14, 9.6, -0.8,0,0,1024,1024,1024,1024,13.6,0,97,4.243,4.242,4.244,4.235,0,0,2.318,84.2,1049.2348393498,11.154856,6,P-GPS,
2190,2021-06-25 14:35:27,0,0,11.154856,,,1049.2348393498,11.811024,0.70687304,0,11,0,15.788,1049.2348393498,11.154856,7.49598594,0,0.671082,0.223694,0,13.8, 9.3, -1.7,0,0,1024,1024,1024,1024,13.7,0,97,4.243,4.242,4.244,4.235,0,0,2.318,84.2,1049.2348393498,11.154856,6,P-GPS,
2250,2021-06-25 14:35:27,0,0,11.154856,,,1049.2348393498,11.811024,0.80753534,0,11,0,15.788,1049.2348393498,11.154856,7.49598594,0,0.671082,0.447388,0,13.8, 9.7, -3.1,0,0,1024,1024,1024,1024,13.7,0,97,4.243,4.242,4.244,4.235,0,0,2.318,84.2,1049.2348393498,11.154856,6,P-GPS,
2360,2021-06-25 14:35:27,0,0,11.154856,,,1049.2348393498,11.48294,0.80753534,0,11,0,15.788,1049.2348393498,11.154856,7.49598594,0,0.671082,0.447388,0,13.8, 9.8, -2.5,0,0,1024,1024,1024,1024,13.7,0,97,4.243,4.242,4.244,4.235,0,0,2.318,84.2,1049.2348393498,11.154856,6,P-GPS,
2480,2021-06-25 14:35:27,0,0,11.154856,,,1049.2348393498,11.48294,0.80753534,0,11,0,15.788,1049.2348393498,11.154856,7.49598594,0,0.671082,0.447388,0,13.8, 9.4, -2.1,0,0,1024,1024,1024,1024,13.7,0,97,4.243,4.242,4.244,4.235,0,0,2.318,84.2,1049.2348393498,11.154856,6,P-GPS,
2520,2021-06-25 14:35:27,0,0,10.826772,,,1048.9067553498,11.48294,0.671082,0,11,0,15.788,1049.2348393498,11.154856,7.49598594,0,0.447388,0.447388,0.223694,13.8, 9.1, -2.7,0,0,1024,1024,1024,1024,13.7,0,97,4.243,4.242,4.244,4.235,0,0,2.318,84.2,1048.9067553498,10.826772,6,P-GPS,
2610,2021-06-25 14:35:27,0,0,10.826772,,,1048.9067553498,11.48294,0.671082,0,11,0,15.788,1049.2348393498,11.154856,7.49598594,0,0.447388,0.447388,0.223694,13.8, 9, -4,0,0,1024,1024,1024,1024,13.7,0,97,4.243,4.242,4.244,4.235,0,0,2.318,84.2,1048.9067553498,10.826772,6,P-GPS,
2800,2021-06-25 14:35:27,36.162452,-96.835598,10.826772,10.826772,1038.0799833498,1048.9067553498,11.48294,0.671082,0,11,0,15.788,1049.2348393498,11.154856,7.49598594,0,0.671082,0,0,13.7, 8.7, -2.8,0,0,1024,1024,1024,1024,13.7,0,97,4.243,4.242,4.244,4.235,0,0,2.318,84.2,1048.9067553498,10.826772,6,P-GPS,
2930,2021-06-25 14:35:28,36.162452,-96.835597,10.826772,10.8595804,1038.0471749498,1048.9067553498,11.48294,0.70687304,0.294560048796,11,0,15.788,1049.2348393498,11.154856,7.49598594,0.294560048796,0.671082,0.223694,0,13.8, 8.7, -2,0,0,1024,1024,1024,1024,13.7,0,97,4.243,4.242,4.244,4.235,0,0,2.318,84.2,1048.9067553498,10.826772,6,P-GPS,
