Time,RSSI,Latitude,Longitude, Height above ground at drone location
2021-01-16 18:16:56.499531,-34,36.1607746688575,-96.8350479159979,309.0879364
2021-01-16 18:16:57.095654,-34,36.1607691674786,-96.8350303419278,309.0223196
2021-01-16 18:16:57.644827,-34,36.160763204716,-96.8350116901428,308.9567028
2021-01-16 18:16:58.168386,-34,36.1607569316892,-96.834992210378,308.9567028
2021-01-16 18:16:58.717279,-34,36.1607540285253,-96.8349892604136,309.2847868
2021-01-16 18:16:59.294092,-34,36.1607508251023,-96.8349898054677,309.2519784
2021-01-16 18:16:59.849976,-34,36.1607474329362,-96.8349908159528,309.1863616
2021-01-16 18:17:00.421270,-34,36.1607452987106,-96.8349914593051,309.1535532
2021-01-16 18:17:00.928004,-35,36.1607459456067,-96.8349913399551,309.1863616
2021-01-16 18:17:01.498096,-35,36.1607473513317,-96.8349915564998,309.1863616
2021-01-16 18:17:02.057192,-28,36.1607491484043,-96.8349911846134,308.891086
2021-01-16 18:17:02.608345,-28,36.1607505101482,-96.8349904236937,308.9238944
2021-01-16 18:17:03.161989,-28,36.1607513729891,-96.8349896227926,308.9238944
2021-01-16 18:17:03.716132,-28,36.1607519131635,-96.8349884462702,308.9567028
2021-01-16 18:17:04.271047,-28,36.1607522155069,-96.8349871351183,308.9567028
2021-01-16 18:17:04.817406,-28,36.1607524320769,-96.8349862465298,308.9895112
2021-01-16 18:17:05.362576,-28,36.1607527060724,-96.8349853604879,308.9895112
2021-01-16 18:17:05.912824,-28,36.1607526580268,-96.8349852003926,308.9895112
2021-01-16 18:17:06.464168,-28,36.1607524800183,-96.8349851059992,308.9895112
2021-01-16 18:17:07.026095,-28,36.1607522340581,-96.8349852198315,308.9895112
2021-01-16 18:17:07.566354,-28,36.1607520448981,-96.8349852923243,308.9895112
2021-01-16 18:17:08.120723,-28,36.160751933278,-96.8349854383285,308.9895112
2021-01-16 18:17:08.674125,-28,36.1607518756441,-96.8349858991756,308.9895112
2021-01-16 18:17:09.217719,-28,36.1607520900255,-96.8349861714056,308.9895112
2021-01-16 18:17:09.771221,-28,36.1607517457855,-96.8349860537533,309.3175952
2021-01-16 18:17:10.327994,-28,36.1607515015971,-96.8349856977407,309.3175952
2021-01-16 18:17:10.881697,-28,36.1607514537599,-96.8349852983512,309.3175952
2021-01-16 18:17:11.429639,-28,36.1607515669433,-96.8349846503302,308.9895112
2021-01-16 18:17:11.993232,-28,36.1607515103516,-96.8349841025597,308.9895112
2021-01-16 18:17:12.533392,-28,36.1607512456317,-96.8349837267686,308.9895112
2021-01-16 18:17:13.078946,-28,36.1607507801833,-96.8349833275489,308.9895112
2021-01-16 18:17:13.632310,-26,36.160750493473,-96.8349830948759,308.9895112
2021-01-16 18:17:14.192864,-28,36.1607502896178,-96.8349834077663,308.9895112
2021-01-16 18:17:14.744532,-28,36.1607500109325,-96.8349838230295,308.9895112
2021-01-16 18:17:15.297800,-28,36.1607497025442,-96.8349842903279,308.9895112
2021-01-16 18:17:15.851814,-28,36.1607493958236,-96.8349846729948,308.9567028
2021-01-16 18:17:16.406725,-28,36.1607491460072,-96.834984872732,308.9567028
2021-01-16 18:17:16.960341,-49,36.1607490706559,-96.8349852749227,308.6286188
2021-01-16 18:17:17.511451,-38,36.1607491148453,-96.8349852639723,308.6286188
2021-01-16 18:17:18.060889,-33,36.1607490142726,-96.8349853404548,308.6286188
2021-01-16 18:17:18.606782,-35,36.1607488690936,-96.834985678896,308.3005348
2021-01-16 18:17:19.151271,-34,36.1607487143263,-96.8349860244676,308.6286188
