Time,RSSI,RelativeLatitude,RelativeLongitude,Height
2021-01-16 18:15:25,-52,0.16241873227939863,-0.8360103477805012,0
2021-01-16 18:15:25,-45,0.1624187550523999,-0.8360103962372989,0
2021-01-16 18:15:25,-49,0.1624187783782034,-0.836010452912106,0
2021-01-16 18:15:25,-63,0.1624187975929985,-0.8360105180316992,0
2021-01-16 18:15:26,-85,0.16241885321169747,-0.8360105363313011,0
2021-01-16 18:15:26,-60,0.1624188908865989,-0.8360105762211987,0
2021-01-16 18:15:26,-53,0.1624189168325998,-0.8360106060387977,0
2021-01-16 18:15:26,-63,0.16241893177600275,-0.8360106534822052,0
2021-01-16 18:15:26,-47,0.16241893867489665,-0.836010646281494,0
2021-01-16 18:15:26,-75,0.16241895004959872,-0.8360106742646991,0
2021-01-16 18:15:26,-84,0.1624189987791027,-0.8360106535139948,0
2021-01-16 18:15:26,-81,0.16241903290720217,-0.8360106741811961,0
2021-01-16 18:15:26,-82,0.16241904804609675,-0.8360106908666012,0
2021-01-16 18:15:27,-53,0.1624190598196975,-0.8360107372609065,0
2021-01-16 18:15:27,-63,0.16241905693009784,-0.8360107779081005,0
2021-01-16 18:15:27,-77,0.16241906188869848,-0.8360108345643056,0
2021-01-16 18:15:27,-66,0.1624190576619995,-0.8360108967222004,0
2021-01-16 18:15:27,-67,0.1624190588158001,-0.8360109714539021,0
2021-01-16 18:15:27,-81,0.16241905000349988,-0.836011029305098,0
2021-01-16 18:15:27,-75,0.16241905002060264,-0.8360110934870022,0
2021-01-16 18:15:27,-40,0.16241903971250338,-0.8360110906459965,0
2021-01-16 18:15:27,-88,0.16241903035140126,-0.8360111199423983,0
2021-01-16 18:15:27,-55,0.162419057175903,-0.8360111255714031,0
2021-01-16 18:15:27,-61,0.16241906589870325,-0.8360111628999931,0
2021-01-16 18:15:27,-58,0.16241906168269793,-0.8360111501617951,0
2021-01-16 18:15:28,-60,0.1624190426201011,-0.8360111651123958,0.328084
2021-01-16 18:15:28,-58,0.16241902490180138,-0.836011171019905,0.328084
2021-01-16 18:15:28,-62,0.16241900549159993,-0.8360112003415026,0.328084
2021-01-16 18:15:28,-75,0.16241901095580147,-0.8360111677173023,0.328084
2021-01-16 18:15:28,-70,0.16241901863639896,-0.8360111530559067,0.328084
2021-01-16 18:15:28,-66,0.16241906446239796,-0.8360111370045047,0.328084
2021-01-16 18:15:28,-63,0.16241910650069968,-0.8360111361185005,0.328084
2021-01-16 18:15:28,-45,0.16241920994030323,-0.8360110996491983,0.328084
2021-01-16 18:15:28,-79,0.16241927933560163,-0.8360110801984035,0.328084
2021-01-16 18:15:29,-58,0.16241933378589835,-0.8360110987738949,0.328084
2021-01-16 18:15:29,-51,0.16241937070999768,-0.8360111107773065,0.328084
2021-01-16 18:15:29,-42,0.1624194075829024,-0.836011126591302,0.328084
2021-01-16 18:15:29,-57,0.16241942946430044,-0.836011139268507,0.328084
2021-01-16 18:15:29,-58,0.16241941083730183,-0.8360111940214949,0.328084
2021-01-16 18:15:29,-62,0.16241939951800077,-0.8360112342814006,0.328084
2021-01-16 18:15:29,-56,0.16241936949690228,-0.8360113075103044,0.328084
2021-01-16 18:15:29,-47,0.16241935452489997,-0.8360113578198991,0.328084
2021-01-16 18:15:29,-81,0.16241938764670039,-0.8360113881282984,0.328084
2021-01-16 18:15:29,-79,0.1624194210501031,-0.8360114076800045,0.328084
2021-01-16 18:15:30,-49,0.16241945644029698,-0.8360114486719965,0.328084
2021-01-16 18:15:30,-66,0.1624194916725017,-0.8360114760371999,0.328084
2021-01-16 18:15:30,-68,0.16241952251770186,-0.8360114772627014,0.328084
2021-01-16 18:15:30,-81,0.1624195536967008,-0.8360114761034936,0.328084
2021-01-16 18:15:30,-43,0.16241955887510073,-0.836011499971093,0.328084
2021-01-16 18:15:30,-66,0.16241956480590147,-0.8360115168369049,0.328084
2021-01-16 18:15:30,-78,0.16241954552680227,-0.8360115712476954,0.328084
2021-01-16 18:15:30,-64,0.1624195465974978,-0.836011596667106,0.328084
2021-01-16 18:15:30,-58,0.16241953324909986,-0.8360116102581969,0.328084
2021-01-16 18:15:30,-44,0.16241954155010063,-0.8360116089463929,0.328084
2021-01-16 18:15:31,-76,0.1624195454022015,-0.8360116334003038,0.328084
2021-01-16 18:15:31,-84,0.16241956670629776,-0.8360116345038051,0.328084
2021-01-16 18:15:31,-43,0.16241961414289818,-0.8360116722397066,0.328084
2021-01-16 18:15:31,-60,0.16241964875379722,-0.8360116804524012,0.328084
2021-01-16 18:15:31,-87,0.16241964594640024,-0.8360117460110956,0.328084
2021-01-16 18:15:31,-89,0.16241964779869988,-0.8360117697925062,0.328084
2021-01-16 18:15:31,-44,0.16241962166299828,-0.8360117960938993,0.328084
2021-01-16 18:15:31,-61,0.16241956780059752,-0.8360118383592976,0.328084
2021-01-16 18:15:31,-71,0.16241954958889693,-0.8360118438928055,0.328084
2021-01-16 18:15:32,-86,0.16241953059559933,-0.8360118531068963,0.328084
2021-01-16 18:15:32,-41,0.16241953121839714,-0.8360118398858987,0.328084
2021-01-16 18:15:32,-85,0.1624195685187999,-0.8360118915377939,0.328084
2021-01-16 18:15:32,-45,0.16241959531240013,-0.8360119078214012,0.328084
2021-01-16 18:15:32,-45,0.16241959568370135,-0.8360119486250994,0.328084
2021-01-16 18:15:32,-83,0.1624195865171032,-0.8360119569319977,0.328084
2021-01-16 18:15:32,-71,0.1624195491639,-0.8360120263317015,0.328084
2021-01-16 18:15:32,-84,0.1624195205880028,-0.8360120546889931,0.328084
